DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,SAT Overall Avg
17K408,ACADEMY OF HOSPITALITY AND TOURISM,57,352,342,351,348.3
17K467,ERASMUS YABC,,,,,#DIV/0!
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,7,394,364,334,364.0
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71,287,335,291,304.3
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,46,403,385,388,392.0
17K531,"SCHOOL FOR HUMAN RIGHTS, THE",35,348,381,359,362.7
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,38,377,404,372,384.3
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,73,338,349,340,342.3
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,61,362,375,368,368.3
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69,457,462,441,453.3
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,54,386,391,369,382.0
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,79,418,441,414,424.3
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,63,388,382,373,381.0
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,48,385,393,373,383.7
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,16,372,356,335,354.3
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165,476,481,479,478.7
17K600,CLARA BARTON HIGH SCHOOL,259,425,413,413,417.0
17K625,PAUL ROBESON HIGH SCHOOL,53,365,363,355,361.0
17K751,ACADEMY FOR HEALTH CAREERS,,,,,#DIV/0!
18K563,IT TAKES A VILLAGE ACADEMY,56,313,320,330,321.0
18K566,BROOKLYN GENERATION SCHOOL,29,374,377,394,381.7
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,54,383,358,377,372.7
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43,368,378,346,364.0
18K576,VICTORY COLLEGIATE HIGH SCHOOL,63,387,377,379,381.0
18K578,BROOKLYN BRIDGE ACADEMY,17,384,362,351,365.7
18K589,ARTS & MEDIA PREPARATORY ACADEMY,48,361,360,359,360.0
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37,404,393,386,394.3
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33,393,395,381,389.7
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,75,386,380,393,386.3
18K635,OLYMPUS ACADEMY,7,400,370,370,380.0
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35,363,381,367,370.3
18K642,URBAN ACTION ACADEMY,40,376,385,374,378.3
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,12,410,403,378,397.0
19K409,EAST NEW YORK FAMILY ACADEMY,54,416,432,394,414.0
19K420,FRANKLIN K. LANE HIGH SCHOOL,,,,,#DIV/0!
19K431,THOMAS JEFFERSON YABC,,,,,#DIV/0!
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37,341,349,333,341.0
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,47,363,349,342,351.3
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61,380,386,383,383.0
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68,371,365,370,368.7
19K583,MULTICULTURAL HIGH SCHOOL,29,279,322,286,295.7
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182,395,418,380,397.7
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,60,371,371,354,365.3
19K639,BROOKLYN LAB SCHOOL,57,360,385,363,369.3
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51,376,385,368,376.3
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74,370,369,363,367.3
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",38,383,400,374,385.7
20K445,NEW UTRECHT HIGH SCHOOL,456,402,471,399,424.0
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,238,425,474,424,441.0
20K490,FORT HAMILTON HIGH SCHOOL,694,417,478,411,435.3
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385,383,486,375,414.7
20K609,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,,,,,#DIV/0!
20K658,FRANKLIN DELANO ROOSEVELT YABC,18,338,477,316,377.0
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54,326,386,314,342.0
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,54,402,427,408,412.3
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,39,388,398,378,388.0
21K410,ABRAHAM LINCOLN HIGH SCHOOL,475,396,437,393,408.7
21K412/21K411,ABRAHAM LINCOLN YABC/LEARNING TO WORK GED AT ABRAHAM LINCOLN,,,,,#DIV/0!
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,,,,,#DIV/0!
21K525,EDWARD R. MURROW HIGH SCHOOL,727,468,496,467,477.0
21K540,JOHN DEWEY HIGH SCHOOL,448,404,468,390,420.7
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40,384,375,365,374.7
